引索,zh,en
新游戏,新游戏,New Game
继续游戏,继续游戏,Load Game
游戏设置,游戏设置,Option
退出,退出,Eixt
角色选择,角色选择,CharacterSelect
设置,设置,Settings
语言,语言,Language
声音,声音,Sound
键位控制,键位控制,Controls
BGM音量,BGM音量,BGMvolume
SE音量,SE音量,SEvolume
全屏,全屏,Full Screen
开,开,On
关,关,Off
窗口分辨率,窗口分辨率,Window Resolution
Debug模式,Debug模式,DebugMode
上,上,Up
下,下,Down
左,左,Left
右,右,Right
攻击,攻击,Attack
跳跃,跳跃,Jump
翻滚,翻滚,Roll
切换,切换,Change
暂停,暂停,Pause
确定,确定,Confirm
返回,返回,Back
取消,取消,Cancel
无法开始游戏,"Fake\SuperSonia是一款由玩家原创内#容构成的平台冒险游戏,#按Z打开创意工坊订阅地图吧","Fake/SuperSonia is a platform adventure game # composed of original content.# Now, let's press Z to see other people's highlights"
创意工坊,创意工坊,Steam Workshop
开始游戏,开始游戏,Start game
名字,名字,Name
是否覆盖,是否覆盖,Coverage?
地图描述,地图描述,Map description
选择封面,选择封面,Select picture
没有选择图案,没有选择图案,No patterns selected
图案大于1M,图案大于1M,The pattern is larger than 1M
更新描述,更新描述,Update description
描述,地图描述,Map description
上传成功,上传成功,Upload successfully
上传steam,上传steam,Upload Steam
制作新地图,制作新地图,Make a new map
无名,无名,Unknown
是否重做,是否重做？,Redo？
显示,显示,display
没有保存 是否继续编辑,没有保存 是否继续编辑?,This map is not saved. Do you want to continue editing?
是否继续编辑,是否继续编辑 ?,Do you want to continue editing?
没保存无法上传,没保存无法上传,"Cannot save, cannot upload"
上传成功,上传成功,Upload successfully
保存成功,保存成功,Save Map
教学关卡,教学关卡,Teaching barrier
打开创意工坊,打开创意工坊,Open creative workshop
查看订阅,查看订阅,View subscriptions
编辑,编辑,Edit
名称（上限32个字）,名称（上限32个字）,Name(Max 32Bit)
新建,新建,New
教程关卡,教程关卡,Tutorial level
墙描述,墙#地图的基本构成元素，无法被穿透。,Block#The basic elements of the map that can not be penetrated
跳床描述,跳床#接触后可以触发角色的跳跃,latform#Can trigger a jump of the character
碎石头墙描述,沙板#用沙子构成的挡板，接触后会很快消失。,Fade Block#A fade block made of sand that will soon disappear after touch
存档点描述,存档#接触后会保存当前位置，下一次死亡时会传送回上一个存档点。,Save#Touch to save the current location，the next death will be sent back to the last Save.
尖刺描述,尖刺#经典障碍之一，碰触即死。按A可以设置朝向。,Spike#One of the classic obstacles，touch then dead.# Press A to set the orientation.
玩家创建点描述,出生点#玩家的初始出生点。按快捷键Enter可以进入测试模式，从出生点出发。,Born#The initial point of birth of the player. #Press the shortcut key Enter to enter the test mode，starting from the birth point.
跳台描述,跳台#按↓+Jump可以跳入下一层。,Platform#Press ↓ + Jump to jump to the down space.
终点描述,终点#抵达至此完成关卡。每个关卡都必需终点。,End#Arrive at this to finish a level. Each level must have an end.
炮台描述,炮台#向玩家所在位置发射子弹，碰触到子弹即死。#默认延迟0，按A可以调整延迟，每个红灯会让炮台增加0.25秒的发射延迟，#最高可设置增加1.5秒发射延迟。,Fort#To the player's location to launch bullets， touch the bullet will let character dead. #The default transmission delay is 0， according to A can adjust the delay， each red light will let the Fort has a 0.25 second transmission delay  up to 1.5 seconds to set the transmission delay.
空,空,Free
